text,label
"This service agreement is entered into between the client and the provider for software development services.",contract
"The tenant agrees to pay monthly rent and comply with all terms stated in this lease.",contract
"The buyer and seller mutually consent to the transfer of goods under the following commercial terms.",contract
"The Supreme Court held that the appeal lacked merit and affirmed the judgment of the lower court.",court_order
"The petitioner seeks review of the tribunal's order on grounds of procedural irregularity.",court_order
"The judge dismissed the writ petition after hearing arguments from both parties.",court_order
"This non disclosure agreement restricts sharing confidential business information with third parties.",nda
"Employee acknowledges that all proprietary information remains confidential after termination.",nda
"Parties agree not to disclose trade secrets and sensitive legal materials beyond authorized personnel.",nda
"The plaintiff demands compensation for damages resulting from breach of statutory duty.",legal_notice
"You are hereby notified to cease unauthorized use of the trademark within seven days.",legal_notice
"Failure to respond to this notice may result in initiation of civil proceedings.",legal_notice
"The parties entered into a memorandum of understanding to collaborate on regulatory compliance research.",mou
"This memorandum outlines preliminary obligations and future negotiation terms between organizations.",mou
"The MOU clarifies intent to cooperate without creating a binding partnership at this stage.",mou
